,X,neoabx,sex,dlivmod,o2,wt,notbreast,gestage,outborn,chain,sample
1,0,0.609501805,0.757951206,1.22803621,-0.45615005,0.383680703,-1.4795591,-1.106801738,-0.238948574,1,1
2,1,0.609501805,0.757951206,1.22803621,-0.45615005,0.383680703,-1.4795591,-1.106801738,-0.238948574,1,2
3,2,0.609501805,0.757951206,1.22803621,-0.45615005,0.383680703,-1.4795591,-1.106801738,-0.238948574,1,3
4,3,-0.17859216,1.061751889,0.701782581,-0.855215022,0.368002026,-0.735783567,-1.039737373,0.594874258,1,4
5,4,-0.737850587,1.580032773,0.79757601,-1.608873839,1.380986045,-0.121608348,-1.387623014,1.112533302,1,5
6,5,-0.182117748,1.049329128,-1.140585103,-0.940587742,0.495870633,-0.596568693,-0.841894888,-0.112390634,1,6
7,6,-0.182117748,1.049329128,-1.140585103,-0.940587742,0.495870633,-0.596568693,-0.841894888,-0.112390634,1,7
8,7,-0.199240179,0.968067392,-1.056145501,-0.86508284,0.543684395,-0.210729046,-0.956029994,-0.252217075,1,8
9,8,-0.660864456,1.212954184,0.155828677,-1.375471814,1.136080103,0.544219939,-1.156642826,0.230442198,1,9
10,9,-0.660864456,1.212954184,0.155828677,-1.375471814,1.136080103,0.544219939,-1.156642826,0.230442198,1,10
11,10,-0.564341247,1.027678965,0.09096376,-1.275352348,1.152795529,0.304595363,-1.16328508,0.0067455,1,11
12,11,-0.922446287,1.640339269,0.056145936,-1.512559583,1.231987373,-0.130627633,-1.192111072,-0.130679918,1,12
13,12,-0.159878462,0.756991512,0.511256681,-0.326359861,0.484560744,0.076508587,-1.010216359,0.145331571,1,13
14,13,0.082089042,1.54301067,-0.054355564,-0.765498856,0.23620584,-0.183774634,-1.059141918,-0.266430394,1,14
15,14,0.082089042,1.54301067,-0.054355564,-0.765498856,0.23620584,-0.183774634,-1.059141918,-0.266430394,1,15
16,15,-0.164502592,1.215865577,-0.008709502,-1.019677691,0.43835109,0.107337022,-1.129537891,0.094430423,1,16
17,16,0.327592537,0.881281706,1.705740784,-0.76099922,0.684542395,0.546884173,-1.166688685,-0.114143374,1,17
18,17,0.327592537,0.881281706,1.705740784,-0.76099922,0.684542395,0.546884173,-1.166688685,-0.114143374,1,18
19,18,0.133287316,0.84267973,1.699810298,-0.547845022,0.444288228,0.742560153,-1.124138156,0.118282283,1,19
20,19,0.133287316,0.84267973,1.699810298,-0.547845022,0.444288228,0.742560153,-1.124138156,0.118282283,1,20
21,20,0.121511101,0.846038602,1.653751414,-0.519178294,0.465411345,0.758674679,-1.087271659,0.183369211,1,21
22,21,0.119404663,0.745289102,1.442419593,-0.584060427,0.381328924,0.807388696,-1.115328528,0.093612337,1,22
23,22,0.102998046,0.628820828,1.385746482,-0.570518093,0.129412362,0.79425914,-1.040084718,-0.304929108,1,23
24,23,0.338532159,0.663918343,1.573183294,-1.130816811,0.211406596,0.348963531,-0.953499697,-0.676464787,1,24
25,24,0.620549351,2.096720392,1.940545458,-0.422070179,-0.676974059,0.226343182,-0.681422165,-0.638211877,1,25
26,25,0.620549351,2.096720392,1.940545458,-0.422070179,-0.676974059,0.226343182,-0.681422165,-0.638211877,1,26
27,26,0.332573048,2.134557534,1.956613444,-0.73390143,-0.441000972,0.225417541,-0.669205233,-0.595591851,1,27
28,27,0.849302664,2.057793079,1.73549209,-1.129434847,-0.563506491,0.231583529,-0.612385204,-0.182346713,1,28
29,28,0.499447566,0.984279516,1.381041136,-1.516017167,0.090207864,0.475993487,-0.516744873,0.450497648,1,29
30,29,0.499447566,0.984279516,1.381041136,-1.516017167,0.090207864,0.475993487,-0.516744873,0.450497648,1,30
31,30,0.726569872,1.38292789,1.119837201,-1.608325257,0.005314125,0.268693963,-0.478589929,0.564229052,1,31
32,31,0.890096226,1.01838556,1.198013347,-1.772218696,0.023579695,-0.308307438,-0.517731957,0.725078288,1,32
33,32,0.000315882,1.856078608,1.555762851,-0.593922434,-0.498397938,0.43671108,-0.424402301,-0.632745579,1,33
34,33,0.000315882,1.856078608,1.555762851,-0.593922434,-0.498397938,0.43671108,-0.424402301,-0.632745579,1,34
35,34,0.011867815,1.343252989,1.160623001,-0.727521691,-0.580014178,0.288090485,-0.304186654,-0.48187702,1,35
36,35,-0.323400938,1.077554364,1.050269253,-0.374114584,-0.606387568,0.151985519,-0.3815836,-0.033585311,1,36
37,36,1.088103959,1.425829525,0.646997659,-1.474132463,-0.86553791,0.674689672,-0.343220404,-0.173004454,1,37
38,37,1.088103959,1.425829525,0.646997659,-1.474132463,-0.86553791,0.674689672,-0.343220404,-0.173004454,1,38
39,38,0.554414881,2.320128469,0.440729356,-1.028303156,-0.462181424,0.406370762,-0.285595522,-0.030453851,1,39
40,39,0.051392627,1.001693252,1.505703351,-0.748385751,-0.141246356,0.716252514,-0.301300069,-0.264552221,1,40
41,40,0.192888567,1.985577905,0.562455735,-0.843844736,-0.492809343,0.482932968,-0.283547867,-0.297538258,1,41
42,41,0.192888567,1.985577905,0.562455735,-0.843844736,-0.492809343,0.482932968,-0.283547867,-0.297538258,1,42
43,42,0.211170041,1.459183341,0.899792789,-0.815530197,-0.466432553,0.463990161,-0.414282917,0.162654662,1,43
44,43,0.331569189,1.231833302,1.420844697,-1.40161002,-0.244711024,0.893757913,-0.273635358,-0.217246125,1,44
45,44,0.331569189,1.231833302,1.420844697,-1.40161002,-0.244711024,0.893757913,-0.273635358,-0.217246125,1,45
46,45,0.749553475,1.081610242,0.936170859,-2.03640973,-0.502625817,0.352171599,-0.369851992,0.442729958,1,46
