"","X.1","X","Lane","cresid","sample_date","ST","source","cluster"
"1",1,1,"42139_1#238","CIS10GB1","2019-09-02","ST15","Neonate's cot",29
"2",2,2,"42139_1#270","CIT10ES1","2019-10-17","ST15","Neonate's stool",29
"3",3,3,"42139_1#272","CIT10FB1","2019-10-20","ST15","Neonate's cot",29
"4",4,4,"47963_2#235","CIV10SE7","2019-10-20","ST15","Ward surfaces",29
"5",5,5,"47963_2#201","CIV10YE6","2019-11-10","ST15","Ward surfaces",29
"6",6,6,"42756_2#215","CIV111E2","2019-11-17","ST15","Ward surfaces",29
"7",7,7,"42139_1#258","CIS149B1","2019-11-24","ST15","Neonate's cot",29
"8",8,8,"42139_1#153","CIT13RB1","2019-12-01","ST15","Neonate's cot",29
"9",9,9,"42139_1#262","CIS14DB1","2019-12-01","ST15","Neonate's cot",29
"10",10,10,"42139_1#311","CIS14FB1","2019-12-01","ST15","Neonate's cot",29
"11",11,11,"42756_2#145","CIV130E1","2019-12-01","ST15","Ward surfaces",29
"12",12,12,"42756_2#156","CIV130E3","2019-12-01","ST15","Ward surfaces",29
"13",13,13,"42756_2#228","CIV116E8","2019-12-01","ST15","Ward surfaces",29
"14",14,14,"42756_3#37","CIV116E3","2019-12-01","ST15","Ward surfaces",29
"15",15,15,"47963_2#193","CIV116U1","2019-12-01","ST15","Ward surfaces",29
"16",16,16,"47963_2#210","CIT13RH1","2019-12-01","ST15","Mother's hands",29
"17",17,17,"47963_2#289","CIV116E6","2019-12-01","ST15","Ward surfaces",29
"18",18,18,"42139_1#313","CIS14HB1","2019-12-02","ST15","Neonate's cot",29
"19",19,19,"42139_1#223","CIT13TB1","2019-12-04","ST15","Neonate's cot",29
"20",20,20,"42139_1#241","CIT13TS1","2019-12-04","ST15","Neonate's stool",29
"21",21,21,"42601_1#196","CIT13VH1","2019-12-04","ST15","Mother's hands",29
"22",22,22,"42139_1#255","CIU13MS1","2019-12-05","ST15","Neonate's stool",29
"23",23,23,"42756_2#242","CIU13NH1","2019-12-05","ST15","Mother's hands",29
"24",24,24,"47963_2#188","CIU13LB1","2019-12-05","ST15","Neonate's cot",29
"25",25,25,"47963_2#186","CIV133E8","2019-12-08","ST15","Ward surfaces",29
"26",26,26,"47963_2#227","CIV132E7","2019-12-08","ST15","Ward surfaces",29
"27",27,27,"42601_1#49","CIV136E5","2019-12-15","ST15","Ward surfaces",29
"28",28,28,"42601_1#85","CIV136E8","2019-12-15","ST15","Ward surfaces",29
"29",29,29,"42756_2#299","CIV135E1","2019-12-15","ST15","Ward surfaces",29
"30",30,30,"42756_2#307","CIV135E5","2019-12-15","ST15","Ward surfaces",29
"31",31,31,"42756_2#322","CIV136E3","2019-12-15","ST15","Ward surfaces",29
"32",32,32,"42139_1#337","CIS14XB1","2020-01-30","ST15","Neonate's cot",29
"33",33,33,"42139_1#357","CIU13TS1","2020-02-02","ST15","Neonate's stool",29
"34",34,34,"42139_1#356","CIT151S1","2020-02-05","ST15","Neonate's stool",29
"35",35,35,"47963_2#77","CIT152B1","2020-02-06","ST15","Neonate's cot",29
"36",36,36,"43416_2#267","CIV13LE1","2020-02-10","ST15","Ward surfaces",29
"37",37,37,"42139_1#26","CIS152B1","2020-02-16","ST15","Neonate's cot",29
"38",38,38,"42139_1#29","CIS152C1","2020-02-16","ST15","Swaddling cloth",29
"39",39,39,"42070_1#56","CIT153H1","2020-02-19","ST15","Mother's hands",29
"40",40,40,"42139_1#50","CIT153S1","2020-02-19","ST15","Neonate's stool",29
"41",41,41,"42139_1#94","CIT156S1","2020-02-23","ST15","Neonate's stool",29
"42",42,42,"42139_1#264","CIS158B1","2020-02-24","ST15","Neonate's cot",29
"43",43,43,"43416_2#70","CIV114E9","2019-11-24","ST15","Ward surfaces",29
"44",44,44,"42139_1#298","CIU13RB1","2020-01-28","ST15","Neonate's cot",29
