"","X","cluster.x","n","sum","prop","arm","median","mean","type"
"1",1,17,0,72,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"2",2,28,0,72,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"3",3,97,0,177,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"4",4,97,0,177,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"5",5,33,3,178,0.02,"test",0.01,0.0332692307692308,"Stool colonisation"
"6",6,7,13,102,0.13,"test",0.01,0.0332692307692308,"Stool colonisation"
"7",7,28,0,99,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"8",8,17,1,99,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"9",9,7,10,76,0.13,"test",0.01,0.0332692307692308,"Stool colonisation"
"10",10,4,1,109,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"11",11,2,4,118,0.03,"test",0.01,0.0332692307692308,"Stool colonisation"
"12",12,4,1,118,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"13",13,2,6,124,0.05,"test",0.01,0.0332692307692308,"Stool colonisation"
"14",14,4,1,124,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"15",15,149,1,132,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"16",16,9,4,162,0.02,"test",0.01,0.0332692307692308,"Stool colonisation"
"17",17,10,6,162,0.04,"test",0.01,0.0332692307692308,"Stool colonisation"
"18",18,8,1,162,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"19",19,9,4,138,0.03,"test",0.01,0.0332692307692308,"Stool colonisation"
"20",20,14,2,138,0.01,"test",0.01,0.0332692307692308,"Stool colonisation"
"21",21,15,0,155,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"22",22,14,3,155,0.02,"test",0.01,0.0332692307692308,"Stool colonisation"
"23",23,52,0,184,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"24",24,13,9,195,0.05,"test",0.01,0.0332692307692308,"Stool colonisation"
"25",25,13,9,195,0.05,"test",0.01,0.0332692307692308,"Stool colonisation"
"26",26,48,0,195,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"27",27,37,0,195,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"28",28,13,9,195,0.05,"test",0.01,0.0332692307692308,"Stool colonisation"
"29",29,37,0,200,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"30",30,118,1,38,0.03,"test",0.01,0.0332692307692308,"Stool colonisation"
"31",31,119,0,38,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"32",32,180,0,66,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"33",33,181,0,66,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"34",34,184,0,97,0,"test",0.01,0.0332692307692308,"Stool colonisation"
"35",35,37,3,155,0.02,"test",0.01,0.0332692307692308,"Stool colonisation"
"36",36,37,4,168,0.02,"test",0.01,0.0332692307692308,"Stool colonisation"
