"","ST","n","sum","prop","arm","median","mean","type"
"1","ST607",6,109,0.06,"test",0.04,0.0636134453781513,"Stool colonisation"
"2","ST607",10,124,0.08,"test",0.04,0.0636134453781513,"Stool colonisation"
"3","ST48",8,124,0.06,"test",0.04,0.0636134453781513,"Stool colonisation"
"4","ST35",22,76,0.29,"test",0.04,0.0636134453781513,"Stool colonisation"
"5","ST307",14,162,0.09,"test",0.04,0.0636134453781513,"Stool colonisation"
"6","ST29",14,162,0.09,"test",0.04,0.0636134453781513,"Stool colonisation"
"7","ST86",2,162,0.01,"test",0.04,0.0636134453781513,"Stool colonisation"
"8","ST567",10,132,0.08,"test",0.04,0.0636134453781513,"Stool colonisation"
"9","ST307",15,138,0.11,"test",0.04,0.0636134453781513,"Stool colonisation"
"10","ST29",15,138,0.11,"test",0.04,0.0636134453781513,"Stool colonisation"
"11","ST54",9,138,0.07,"test",0.04,0.0636134453781513,"Stool colonisation"
"12","ST307",18,155,0.12,"test",0.04,0.0636134453781513,"Stool colonisation"
"13","ST54",11,155,0.07,"test",0.04,0.0636134453781513,"Stool colonisation"
"14","ST340",28,195,0.14,"test",0.04,0.0636134453781513,"Stool colonisation"
"15","ST15",16,168,0.1,"test",0.04,0.0636134453781513,"Stool colonisation"
"16","ST15",32,170,0.19,"test",0.04,0.0636134453781513,"Stool colonisation"
"17","ST15",33,182,0.18,"test",0.04,0.0636134453781513,"Stool colonisation"
"18","ST101",12,195,0.06,"test",0.04,0.0636134453781513,"Stool colonisation"
"19","ST340",28,195,0.14,"test",0.04,0.0636134453781513,"Stool colonisation"
"20","ST15",20,200,0.1,"test",0.04,0.0636134453781513,"Stool colonisation"
"21","ST15",17,195,0.09,"test",0.04,0.0636134453781513,"Stool colonisation"
"22","ST340",28,195,0.14,"test",0.04,0.0636134453781513,"Stool colonisation"
"23","ST29",27,184,0.15,"test",0.04,0.0636134453781513,"Stool colonisation"
"24","ST15",15,155,0.1,"test",0.04,0.0636134453781513,"Stool colonisation"
"25","ST15",32,190,0.17,"test",0.04,0.0636134453781513,"Stool colonisation"
"26","ST15",60,218,0.28,"test",0.04,0.0636134453781513,"Stool colonisation"
"27","ST14",26,210,0.12,"test",0.04,0.0636134453781513,"Stool colonisation"
"28","ST391",2,210,0.01,"test",0.04,0.0636134453781513,"Stool colonisation"
"29","ST15",46,187,0.25,"test",0.04,0.0636134453781513,"Stool colonisation"
"30","ST15",50,188,0.27,"test",0.04,0.0636134453781513,"Stool colonisation"
"31","ST692",2,188,0.01,"test",0.04,0.0636134453781513,"Stool colonisation"
"32","ST14",21,185,0.11,"test",0.04,0.0636134453781513,"Stool colonisation"
"33","ST39",6,185,0.03,"test",0.04,0.0636134453781513,"Stool colonisation"
"34","ST307",16,197,0.08,"test",0.04,0.0636134453781513,"Stool colonisation"
"35","ST15",58,205,0.28,"test",0.04,0.0636134453781513,"Stool colonisation"
