"","cluster.x","n","sum","prop","arm","median","mean","type"
"1",20,0,134,0,"test",0,0.0117647058823529,"Invasive infection"
"2",26,0,190,0,"test",0,0.0117647058823529,"Invasive infection"
"3",20,1,208,0,"test",0,0.0117647058823529,"Invasive infection"
"4",16,2,203,0.01,"test",0,0.0117647058823529,"Invasive infection"
"5",37,0,194,0,"test",0,0.0117647058823529,"Invasive infection"
"6",13,0,170,0,"test",0,0.0117647058823529,"Invasive infection"
"7",29,28,238,0.12,"test",0,0.0117647058823529,"Invasive infection"
"8",43,1,35,0.03,"test",0,0.0117647058823529,"Invasive infection"
"9",111,0,120,0,"test",0,0.0117647058823529,"Invasive infection"
"10",29,3,173,0.02,"test",0,0.0117647058823529,"Invasive infection"
"11",29,3,184,0.02,"test",0,0.0117647058823529,"Invasive infection"
"12",119,0,197,0,"test",0,0.0117647058823529,"Invasive infection"
"13",126,0,211,0,"test",0,0.0117647058823529,"Invasive infection"
"14",13,0,229,0,"test",0,0.0117647058823529,"Invasive infection"
"15",178,0,237,0,"test",0,0.0117647058823529,"Invasive infection"
"16",179,0,226,0,"test",0,0.0117647058823529,"Invasive infection"
"17",186,0,142,0,"test",0,0.0117647058823529,"Invasive infection"
"18",20,0,114,0,"null",0,0.0195882352941176,"Invasive infection"
"19",13,0,200,0,"null",0,0.0195882352941176,"Invasive infection"
"20",29,16,217,0.074,"null",0,0.0195882352941176,"Invasive infection"
"21",178,0,93,0,"null",0,0.0195882352941176,"Invasive infection"
"22",13,0,148,0,"null",0,0.0195882352941176,"Invasive infection"
"23",26,0,85,0,"null",0,0.0195882352941176,"Invasive infection"
"24",43,0,84,0,"null",0,0.0195882352941176,"Invasive infection"
"25",179,0,202,0,"null",0,0.0195882352941176,"Invasive infection"
"26",126,0,85,0,"null",0,0.0195882352941176,"Invasive infection"
"27",20,4,111,0.036,"null",0,0.0195882352941176,"Invasive infection"
"28",16,0,203,0,"null",0,0.0195882352941176,"Invasive infection"
"29",111,0,239,0,"null",0,0.0195882352941176,"Invasive infection"
"30",29,22,252,0.087,"null",0,0.0195882352941176,"Invasive infection"
"31",186,0,147,0,"null",0,0.0195882352941176,"Invasive infection"
"32",119,0,38,0,"null",0,0.0195882352941176,"Invasive infection"
"33",37,0,250,0,"null",0,0.0195882352941176,"Invasive infection"
"34",29,11,81,0.136,"null",0,0.0195882352941176,"Invasive infection"
"35",20,7,193,0.04,"after",0.01,0.0241176470588235,"Invasive infection"
"36",26,0,159,0,"after",0.01,0.0241176470588235,"Invasive infection"
"37",20,6,138,0.04,"after",0.01,0.0241176470588235,"Invasive infection"
"38",16,1,111,0.01,"after",0.01,0.0241176470588235,"Invasive infection"
"39",37,0,85,0,"after",0.01,0.0241176470588235,"Invasive infection"
"40",13,2,204,0.01,"after",0.01,0.0241176470588235,"Invasive infection"
"41",29,5,59,0.08,"after",0.01,0.0241176470588235,"Invasive infection"
"42",43,1,191,0.01,"after",0.01,0.0241176470588235,"Invasive infection"
"43",111,0,219,0,"after",0.01,0.0241176470588235,"Invasive infection"
"44",29,19,226,0.08,"after",0.01,0.0241176470588235,"Invasive infection"
"45",29,18,218,0.08,"after",0.01,0.0241176470588235,"Invasive infection"
"46",119,1,221,0,"after",0.01,0.0241176470588235,"Invasive infection"
"47",126,5,266,0.02,"after",0.01,0.0241176470588235,"Invasive infection"
"48",13,1,205,0,"after",0.01,0.0241176470588235,"Invasive infection"
"49",178,0,118,0,"after",0.01,0.0241176470588235,"Invasive infection"
"50",179,5,117,0.04,"after",0.01,0.0241176470588235,"Invasive infection"
"51",186,0,0,0,"after",0.01,0.0241176470588235,"Invasive infection"
"52",12,2,72,0.03,"test",0.03,0.0370769230769231,"Stool colonisation"
"53",13,1,72,0.01,"test",0.03,0.0370769230769231,"Stool colonisation"
"54",2,2,81,0.02,"test",0.03,0.0370769230769231,"Stool colonisation"
"55",12,4,81,0.05,"test",0.03,0.0370769230769231,"Stool colonisation"
"56",13,3,81,0.04,"test",0.03,0.0370769230769231,"Stool colonisation"
"57",13,4,109,0.04,"test",0.03,0.0370769230769231,"Stool colonisation"
"58",12,5,109,0.05,"test",0.03,0.0370769230769231,"Stool colonisation"
"59",21,1,123,0.01,"test",0.03,0.0370769230769231,"Stool colonisation"
"60",24,1,151,0.01,"test",0.03,0.0370769230769231,"Stool colonisation"
