"","ST","n","sum","prop","arm","median","mean","type"
"1","ST391",1,120,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"2","ST1799",3,203,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"3","ST54",1,190,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"4","ST15",5,173,0.03,"test",0.01,0.0317647058823529,"Invasive infection"
"5","ST3132",1,229,0,"test",0.01,0.0317647058823529,"Invasive infection"
"6","ST15",6,184,0.03,"test",0.01,0.0317647058823529,"Invasive infection"
"7","ST391",2,211,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"8","ST2632",1,237,0,"test",0.01,0.0317647058823529,"Invasive infection"
"9","ST17",1,134,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"10","ST3132",2,170,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"11","ST607",1,197,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"12","ST307",7,35,0.2,"test",0.01,0.0317647058823529,"Invasive infection"
"13","ST39",10,194,0.05,"test",0.01,0.0317647058823529,"Invasive infection"
"14","ST17",3,208,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"15","ST15",32,238,0.13,"test",0.01,0.0317647058823529,"Invasive infection"
"16","ST584",3,226,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"17","ST39",1,142,0.01,"test",0.01,0.0317647058823529,"Invasive infection"
"18","ST391",0,114,0,"null",0,0.0258823529411765,"Invasive infection"
"19","ST17",3,200,0.02,"null",0,0.0258823529411765,"Invasive infection"
"20","ST391",6,217,0.03,"null",0,0.0258823529411765,"Invasive infection"
"21","ST15",18,93,0.19,"null",0,0.0258823529411765,"Invasive infection"
"22","ST15",6,148,0.04,"null",0,0.0258823529411765,"Invasive infection"
"23","ST1799",0,85,0,"null",0,0.0258823529411765,"Invasive infection"
"24","ST2632",0,84,0,"null",0,0.0258823529411765,"Invasive infection"
"25","ST584",0,202,0,"null",0,0.0258823529411765,"Invasive infection"
"26","ST39",1,85,0.01,"null",0,0.0258823529411765,"Invasive infection"
"27","ST54",0,111,0,"null",0,0.0258823529411765,"Invasive infection"
"28","ST15",26,203,0.13,"null",0,0.0258823529411765,"Invasive infection"
"29","ST17",2,239,0.01,"null",0,0.0258823529411765,"Invasive infection"
"30","ST607",0,252,0,"null",0,0.0258823529411765,"Invasive infection"
"31","ST39",1,147,0.01,"null",0,0.0258823529411765,"Invasive infection"
"32","ST307",0,38,0,"null",0,0.0258823529411765,"Invasive infection"
"33","ST3132",0,250,0,"null",0,0.0258823529411765,"Invasive infection"
"34","ST3132",0,81,0,"null",0,0.0258823529411765,"Invasive infection"
"35","ST391",7,219,0.03,"after",0.03,Inf,"Invasive infection"
"36","ST1799",2,111,0.02,"after",0.03,Inf,"Invasive infection"
"37","ST54",1,159,0.01,"after",0.03,Inf,"Invasive infection"
"38","ST15",28,226,0.12,"after",0.03,Inf,"Invasive infection"
"39","ST3132",2,205,0.01,"after",0.03,Inf,"Invasive infection"
"40","ST15",26,218,0.12,"after",0.03,Inf,"Invasive infection"
"41","ST391",6,266,0.02,"after",0.03,Inf,"Invasive infection"
"42","ST2632",1,118,0.01,"after",0.03,Inf,"Invasive infection"
"43","ST17",9,193,0.05,"after",0.03,Inf,"Invasive infection"
"44","ST3132",3,204,0.01,"after",0.03,Inf,"Invasive infection"
"45","ST607",2,221,0.01,"after",0.03,Inf,"Invasive infection"
"46","ST307",14,191,0.07,"after",0.03,Inf,"Invasive infection"
"47","ST39",1,85,0.01,"after",0.03,Inf,"Invasive infection"
"48","ST17",9,138,0.07,"after",0.03,Inf,"Invasive infection"
"49","ST15",8,59,0.14,"after",0.03,Inf,"Invasive infection"
"50","ST584",7,117,0.06,"after",0.03,Inf,"Invasive infection"
"51","ST39",1,0,Inf,"after",0.03,Inf,"Invasive infection"
