"","ST","n","sum","prop","arm","median","mean","type"
"1","ST307",9,187,0.05,"test",0.03,0.0369230769230769,"Stool colonisation"
"2","ST17",6,178,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"3","ST1106",1,81,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"4","ST17",6,244,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"5","ST39",2,155,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"6","ST101",0,202,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"7","ST35",8,102,0.08,"test",0.03,0.0369230769230769,"Stool colonisation"
"8","ST29",5,138,0.04,"test",0.03,0.0369230769230769,"Stool colonisation"
"9","ST391",5,210,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"10","ST2793",2,72,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"11","ST25",0,151,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"12","ST15",21,187,0.11,"test",0.03,0.0369230769230769,"Stool colonisation"
"13","ST15",20,200,0.1,"test",0.03,0.0369230769230769,"Stool colonisation"
"14","ST3132",1,81,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"15","ST3132",0,72,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"16","ST1799",1,165,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"17","ST307",16,197,0.08,"test",0.03,0.0369230769230769,"Stool colonisation"
"18","ST17",4,215,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"19","ST3132",1,109,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"20","ST307",0,79,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"21","ST35",9,99,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"22","ST101",0,147,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"23","ST2793",3,81,0.04,"test",0.03,0.0369230769230769,"Stool colonisation"
"24","ST15",18,205,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"25","ST1106",1,177,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"26","ST15",18,195,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"27","ST340",9,195,0.05,"test",0.03,0.0369230769230769,"Stool colonisation"
"28","ST2793",3,109,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"29","ST147",3,97,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"30","ST29",6,184,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"31","ST35",7,76,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"32","ST4083",1,162,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"33","ST15",20,200,0.1,"test",0.03,0.0369230769230769,"Stool colonisation"
"34","ST45",4,198,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"35","ST307",11,185,0.06,"test",0.03,0.0369230769230769,"Stool colonisation"
"36","ST39",2,185,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"37","ST101",5,195,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"38","ST15",19,218,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"39","ST15",14,170,0.08,"test",0.03,0.0369230769230769,"Stool colonisation"
"40","ST15",21,210,0.1,"test",0.03,0.0369230769230769,"Stool colonisation"
"41","ST15",15,182,0.08,"test",0.03,0.0369230769230769,"Stool colonisation"
"42","ST15",2,79,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"43","ST15",5,168,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"44","ST567",1,132,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"45","ST15",4,155,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"46","ST584",7,203,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"47","ST896",1,225,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"48","ST2793",6,169,0.04,"test",0.03,0.0369230769230769,"Stool colonisation"
"49","ST567",4,132,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"50","ST2668",0,123,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"51","ST692",2,188,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"52","ST2793",6,167,0.04,"test",0.03,0.0369230769230769,"Stool colonisation"
"53","ST101",2,97,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"54","ST45",4,195,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"55","ST607",1,118,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"56","ST15",11,190,0.06,"test",0.03,0.0369230769230769,"Stool colonisation"
"57","ST607",1,109,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"58","ST48",4,118,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"59","ST48",3,123,0.02,"test",0.03,0.0369230769230769,"Stool colonisation"
"60","ST2668",0,38,0,"test",0.03,0.0369230769230769,"Stool colonisation"
"61","ST15",20,215,0.09,"test",0.03,0.0369230769230769,"Stool colonisation"
"62","ST39",2,145,0.01,"test",0.03,0.0369230769230769,"Stool colonisation"
"63","ST340",9,195,0.05,"test",0.03,0.0369230769230769,"Stool colonisation"
"64","ST307",5,155,0.03,"test",0.03,0.0369230769230769,"Stool colonisation"
"65","ST48",5,124,0.04,"test",0.03,0.0369230769230769,"Stool colonisation"
